Id,URL,Title,Original Title,Author,Date,Styles,Series,Genre,Media,Location,Dimensions,Description,Wiki Description,Tags,Img,image_urls
688,https://www.wikiart.org/en/kara-walker/a-subtlety-2014,A Subtlety,,Kara Walker,2014,Feminist Art,,sculpture,,,,,,,img/full/4fe7b130366bafbb48adc5126b575b493a7984e3.jpg,https://uploads5.wikiart.org/00333/images/kara-walker/a-subtlety-2014.jpg
689,https://www.wikiart.org/en/kara-walker/exodus-of-confederates-from-atlanta-from-harper-s-pictorial-history-of-the-civil-war-annotated-2005,"Exodus of Confederates from Atlanta, from Harper’s Pictorial History of the Civil War (Annotated)",,Kara Walker,2005,Feminist Art,,figurative,,,,,,silhouette,img/full/fc2aac97acf3d2f3c0b79d4daaa2506664f96d30.jpg,https://uploads8.wikiart.org/00333/images/kara-walker/exodus-of-confederates-from-atlanta-from-harper-s-pictorial-history-of-the-civil-war-annotated-2005.jpg
690,https://www.wikiart.org/en/cope2/piece-1984,Piece,,Cope2,1984,Street art,,graffiti,,,,,,"Transport,Azure,Font,Rollingstock",img/full/fd916624ade8f9ec7d5135623fa5e5e4f7c79fc9.jpg,https://uploads5.wikiart.org/images/cope2/piece-1984.jpg!Large.jpg
691,https://www.wikiart.org/en/kara-walker/untitled-1996,Untitled,,Kara Walker,1996,Feminist Art,,figurative,,,,,,silhouette,img/full/2ea5a0faba1970db0ca539c72a73854f19042b8a.jpg,https://uploads4.wikiart.org/00333/images/kara-walker/untitled-1996.jpg!Large.jpg
692,https://www.wikiart.org/en/kara-walker/br-er-1996,Br’er,,Kara Walker,1996,Feminist Art,,figurative,,,,,,,img/full/34825cb536ca5c6ce8293fbf1c9c626f83d3fc25.jpg,https://uploads1.wikiart.org/00341/images/kara-walker/6.jpg
693,https://www.wikiart.org/en/kara-walker/lost-mountain-at-sunrise-from-harper-s-pictorial-history-of-the-civil-war-annotated-2005,Lost Mountain at Sunrise from Harper’s Pictorial History of the Civil War (Annotated),,Kara Walker,2005,Feminist Art,,figurative,,,,,,silhouette,img/full/ed74caf9f0ae12ff0587928332f1a692c8a2f8ec.jpg,https://uploads6.wikiart.org/00333/images/kara-walker/lost-mountain-at-sunrise-from-harper-s-pictorial-history-of-the-civil-war-annotated-2005.jpg
694,https://www.wikiart.org/en/kara-walker/confederate-prisoners-being-conducted-from-jonesborough-to-atlanta-from-harper-s-pictorial-history-2005,"Confederate Prisoners Being Conducted from Jonesborough to Atlanta, from Harper’s Pictorial History of the Civil War (Annotated)",,Kara Walker,2005,Feminist Art,,figurative,,,,,,silhouette,img/full/cfc845cf61fee973676d26e1bec52258f35b8c8e.jpg,https://uploads7.wikiart.org/00333/images/kara-walker/confederate-prisoners-being-conducted-from-jonesborough-to-atlanta-from-harper-s-pictorial-history.jpg
695,https://www.wikiart.org/en/kara-walker/burn-1998,Burn,,Kara Walker,1998,Feminist Art,,figurative,,,,,,silhouette,img/full/0b3595e3ee034bc1c6db3c8c2dd96228c569dc0b.jpg,https://uploads0.wikiart.org/00333/images/kara-walker/burn-1998.jpg!Large.jpg
696,https://www.wikiart.org/en/jon-mcnaughton/one-nation-under-socialism,One Nation Under Socialism,,Jon Mcnaughton,,"Social Realism,Kitsch",,portrait,oil,,40.64 x 50.8 cm,,,"Flame,Heat,Human,Fire,Smoke",img/full/e6d98345ae8257e97c3c6d7736f5540f38393ff3.jpg,https://uploads1.wikiart.org/00221/images/jon-mcnaughton/one-nation-under-socialism.jpg!Large.jpg
697,https://www.wikiart.org/en/jon-mcnaughton/gopr1506-2-59617-1503928876-1280-1280,Trump,,Jon Mcnaughton,,Social Realism,,portrait,,,,,,"Chin,Forehead,Human",img/full/21a7f2a7cb9a2ccb7b822a1ca165467e2fb96f87.jpg,https://uploads3.wikiart.org/00221/images/jon-mcnaughton/gopr1506-2-59617-1503928876-1280-1280.jpg!Large.jpg
698,https://www.wikiart.org/en/jon-mcnaughton/last-supper,LAST SUPPER,,Jon Mcnaughton,,Kitsch,,religious painting,,,,,,,img/full/d50eca6c82396fdf7c37629357aea4eb8560f910.jpg,https://uploads4.wikiart.org/00224/images/jon-mcnaughton/last-supper.jpg!Large.jpg
699,https://www.wikiart.org/en/jon-mcnaughton/crossing-the-swamp-frames-91966-1532728379-800-800,Crossing the Swamp Frames,,Jon Mcnaughton,,"Kitsch,Social Realism",,symbolic painting,,,,,,"Militaryorganization,Infantry",img/full/00f7abe1c6d9a240cb34cbf56c51787ed91a6ca0.jpg,https://uploads7.wikiart.org/00221/images/jon-mcnaughton/crossing-the-swamp-frames-91966-1532728379-800-800.jpg!Large.jpg
700,https://www.wikiart.org/en/jon-mcnaughton/loving-savior,LOVING SAVIOR,,Jon Mcnaughton,,Kitsch,,religious painting,,,,,,Prophet,img/full/b99a4b2ce4800a48347254e13f0830b50a6e8da0.jpg,https://uploads6.wikiart.org/00224/images/jon-mcnaughton/loving-savior.jpg!Large.jpg
